family	feature	value
ke-ok-oke	suf1_r	0.113475177
ke-ok-oke	suf1_s	0.035460993
ke-ok-oke	suf1_y	0.548463357
ke-ok-oke	suf2_al	0.052009456
ke-ok-oke	suf2_am	0.011820331
ke-ok-oke	suf2_an	0.002364066
ke-ok-oke	suf2_ar	0.052009456
ke-ok-oke	suf2_dr	0.002364066
ke-ok-oke	suf2_dy	0.338061466
ke-ok-oke	suf2_ed	0.007092199
ke-ok-oke	suf2_eo	0.026004728
ke-ok-oke	suf2_es	0.002364066
ke-ok-oke	suf2_ey	0.146572104
ke-ok-oke	suf2_hs	0.002364066
ke-ok-oke	suf2_hy	0.021276596
ke-ok-oke	suf2_in	0.028368794
ke-ok-oke	suf2_ir	0.002364066
ke-ok-oke	suf2_ke	0.002364066
ke-ok-oke	suf2_ky	0.004728132
ke-ok-oke	suf2_ly	0.026004728
ke-ok-oke	suf2_my	0.002364066
ke-ok-oke	suf2_od	0.014184397
ke-ok-oke	suf2_of	0.002364066
ke-ok-oke	suf2_ol	0.139479905
ke-ok-oke	suf2_om	0.009456265
ke-ok-oke	suf2_or	0.052009456
ke-ok-oke	suf2_os	0.030732861
ke-ok-oke	suf2_oy	0.002364066
ke-ok-oke	suf2_rl	0.002364066
ke-ok-oke	suf2_rr	0.002364066
ke-ok-oke	suf2_ry	0.004728132
ke-ok-oke	suf2_so	0.002364066
ke-ok-oke	suf2_sy	0.002364066
ke-ok-oke	suf2_yd	0.002364066
ke-ok-oke	suf2_yr	0.002364066
ke-ok-oke-qok	n_obs	502
ke-ok-oke-qok	len_5	0.203187251
ke-ok-oke-qok	len_6	0.639442231
ke-ok-oke-qok	len_7	0.125498008
ke-ok-oke-qok	len_8	0.023904382
ke-ok-oke-qok	len_9	0.007968127
ke-ok-oke-qok	suf1_a	0.001992032
ke-ok-oke-qok	suf1_d	0.021912351
ke-ok-oke-qok	suf1_g	0.003984064
ke-ok-oke-qok	suf1_l	0.099601594
ke-ok-oke-qok	suf1_m	0.005976096
ke-ok-oke-qok	suf1_n	0.015936255
ke-ok-oke-qok	suf1_o	0.011952191
ke-ok-oke-qok	suf1_r	0.065737052
ke-ok-oke-qok	suf1_s	0.013944223
ke-ok-oke-qok	suf1_y	0.758964143
ke-ok-oke-qok	suf2_al	0.013944223
ke-ok-oke-qok	suf2_am	0.003984064
ke-ok-oke-qok	suf2_ar	0.027888446
ke-ok-oke-qok	suf2_as	0.001992032
ke-ok-oke-qok	suf2_da	0.001992032
ke-ok-oke-qok	suf2_dy	0.541832669
ke-ok-oke-qok	suf2_ed	0.007968127
ke-ok-oke-qok	suf2_eg	0.001992032
ke-ok-oke-qok	suf2_eo	0.009960159
ke-ok-oke-qok	suf2_er	0.001992032
ke-ok-oke-qok	suf2_es	0.001992032
ke-ok-oke-qok	suf2_ey	0.179282869
ke-ok-oke-qok	suf2_hy	0.029880478
ke-ok-oke-qok	suf2_in	0.015936255
ke-ok-oke-qok	suf2_ir	0.001992032
ke-ok-oke-qok	suf2_lo	0.001992032
ke-ok-oke-qok	suf2_ly	0.003984064
ke-ok-oke-qok	suf2_od	0.011952191
ke-ok-oke-qok	suf2_og	0.001992032
ke-ok-oke-qok	suf2_ol	0.083665339
ke-ok-oke-qok	suf2_om	0.001992032
ke-ok-oke-qok	suf2_or	0.033864542
ke-ok-oke-qok	suf2_os	0.009960159
ke-ok-oke-qok	suf2_oy	0.001992032
ke-ok-oke-qok	suf2_ry	0.001992032
ke-ok-oke-qok	suf2_sd	0.001992032
ke-ok-oke-qok	suf2_yl	0.001992032
ke-ok-oke-tc-tch	n_obs	1
ke-ok-oke-tc-tch	len_8	1
ke-ok-oke-tc-tch	suf1_y	1
ke-ok-oke-tc-tch	suf2_dy	1
ke-ok-oke-yt	n_obs	2
ke-ok-oke-yt	len_7	0.5
ke-ok-oke-yt	len_8	0.5
ke-ok-oke-yt	suf1_d	0.5
ke-ok-oke-yt	suf1_m	0.5
ke-ok-oke-yt	suf2_am	0.5
ke-ok-oke-yt	suf2_ed	0.5
ke-op	n_obs	2
ke-op	len_7	0.5
ke-op	len_8	0.5
ke-op	suf1_l	0.5
ke-op	suf1_r	0.5
ke-op	suf2_ol	0.5
ke-op	suf2_or	0.5
ke-op-yk	n_obs	1
ke-op-yk	len_6	1
ke-op-yk	suf1_y	1
ke-op-yk	suf2_ey	1
ke-yk	n_obs	85
ke-yk	len_10	0.011764706
ke-yk	len_4	0.105882353
ke-yk	len_5	0.458823529
ke-yk	len_6	0.305882353
ke-yk	len_7	0.082352941
ke-yk	len_8	0.023529412
ke-yk	len_9	0.011764706
ke-yk	suf1_a	0.023529412
ke-yk	suf1_d	0.011764706
ke-yk	suf1_l	0.117647059
ke-yk	suf1_m	0.011764706
ke-yk	suf1_n	0.035294118
ke-yk	suf1_o	0.047058824
ke-yk	suf1_r	0.129411765
ke-yk	suf1_s	0.035294118
ke-yk	suf1_y	0.588235294
ke-yk	suf2_al	0.011764706
ke-yk	suf2_ar	0.035294118
ke-yk	suf2_da	0.023529412
ke-yk	suf2_dy	0.458823529
ke-yk	suf2_eo	0.023529412
ke-yk	suf2_es	0.011764706
ke-yk	suf2_ey	0.105882353
ke-yk	suf2_ho	0.023529412
ke-yk	suf2_hy	0.011764706
ke-yk	suf2_in	0.035294118
ke-yk	suf2_my	0.011764706
ke-yk	suf2_od	0.011764706
ke-yk	suf2_ol	0.105882353
ke-yk	suf2_om	0.011764706
ke-yk	suf2_or	0.094117647
ke-yk	suf2_os	0.023529412
lc	n_obs	96
lc	len_10	0.010416667
lc	len_3	0.010416667
lc	len_4	0.145833333
lc	len_5	0.40625
lc	len_6	0.21875
lc	len_7	0.135416667
lc	len_8	0.010416667
lc	len_9	0.0625
lc	suf1_d	0.052083333
lc	suf1_g	0.020833333
lc	suf1_h	0.010416667
lc	suf1_l	0.1875
lc	suf1_m	0.010416667
lc	suf1_n	0.052083333
lc	suf1_o	0.020833333
lc	suf1_r	0.114583333
lc	suf1_s	0.041666667
lc	suf1_y	0.489583333
lc	suf2_al	0.072916667
lc	suf2_am	0.010416667
lc	suf2_ar	0.041666667
lc	suf2_ch	0.010416667
lc	suf2_dy	0.291666667
lc	suf2_hd	0.052083333
lc	suf2_hg	0.020833333
lc	suf2_hl	0.041666667
lc	suf2_ho	0.020833333
lc	suf2_hr	0.010416667
lc	suf2_hs	0.03125
lc	suf2_hy	0.1875
lc	suf2_in	0.052083333
lc	suf2_ky	0.010416667
lc	suf2_ol	0.0625
lc	suf2_or	0.0625
lc	suf2_os	0.010416667
lc	suf2_sl	0.010416667
lc-ls-olc	n_obs	1
lc-ls-olc	len_7	1
lc-ls-olc	suf1_s	1
lc-ls-olc	suf2_ls	1
lc-oe	n_obs	1
lc-oe	len_8	1
lc-oe	suf1_g	1
lc-oe	suf2_hg	1
lc-ok	n_obs	4
lc-ok	len_7	0.75
lc-ok	len_8	0.25
lc-ok	suf1_y	1
lc-ok	suf2_dy	0.25
lc-ok	suf2_hy	0.75
lc-ok-olc	n_obs	5
lc-ok-olc	len_7	0.6
lc-ok-olc	len_8	0.4
lc-ok-olc	suf1_l	0.2
lc-ok-olc	suf1_y	0.8
lc-ok-olc	suf2_al	0.2
lc-ok-olc	suf2_cy	0.2
lc-ok-olc	suf2_hy	0.6
lc-ok-olc-qok	n_obs	1
lc-ok-olc-qok	len_12	1
lc-ok-olc-qok	suf1_y	1
lc-ok-olc-qok	suf2_dy	1
lc-ok-qok	n_obs	4
lc-ok-qok	len_9	1
lc-ok-qok	suf1_l	0.25
lc-ok-qok	suf1_r	0.25
lc-ok-qok	suf1_y	0.5
lc-ok-qok	suf2_al	0.25
lc-ok-qok	suf2_ar	0.25
lc-ok-qok	suf2_dy	0.5
lc-olc	n_obs	53
lc-olc	len_10	0.056603774
lc-olc	len_5	0.113207547
lc-olc	len_6	0.396226415
lc-olc	len_7	0.245283019
lc-olc	len_8	0.132075472
lc-olc	len_9	0.056603774
lc-olc	suf1_a	0.018867925
lc-olc	suf1_d	0.113207547
lc-olc	suf1_l	0.113207547
lc-olc	suf1_m	0.018867925
lc-olc	suf1_n	0.075471698
lc-olc	suf1_r	0.132075472
lc-olc	suf1_s	0.037735849
lc-olc	suf1_y	0.490566038
lc-olc	suf2_ad	0.018867925
lc-olc	suf2_al	0.056603774
lc-olc	suf2_am	0.018867925
lc-olc	suf2_ar	0.056603774
lc-olc	suf2_ds	0.018867925
lc-olc	suf2_dy	0.20754717
lc-olc	suf2_ha	0.018867925
lc-olc	suf2_hd	0.075471698
lc-olc	suf2_hl	0.037735849
lc-olc	suf2_hs	0.018867925
lc-olc	suf2_hy	0.245283019
lc-olc	suf2_in	0.075471698
lc-olc	suf2_od	0.018867925
lc-olc	suf2_ol	0.018867925
lc-olc	suf2_or	0.075471698
lc-olc	suf2_oy	0.018867925
lc-olc	suf2_ry	0.018867925
lc-op	n_obs	1
lc-op	len_8	1
lc-op	suf1_y	1
lc-op	suf2_dy	1
lc-pc	n_obs	1
lc-pc	len_8	1
lc-pc	suf1_y	1
lc-pc	suf2_dy	1
lc-yt	n_obs	1
lc-yt	len_8	1
lc-yt	suf1_s	1
lc-yt	suf2_os	1
ls	n_obs	102
ls	len_10	0.009803922
ls	len_2	0.098039216
ls	len_3	0.196078431
ls	len_4	0.166666667
ls	len_5	0.176470588
ls	len_6	0.137254902
ls	len_7	0.156862745
ls	len_8	0.049019608
ls	len_9	0.009803922
ls	suf1_a	0.009803922
ls	suf1_l	0.009803922
ls	suf1_n	0.088235294
ls	suf1_r	0.058823529
ls	suf1_s	0.705882353
ls	suf1_y	0.12745098
ls	suf2_al	0.009803922
ls	suf2_an	0.009803922
ls	suf2_ar	0.049019608
ls	suf2_as	0.009803922
ls	suf2_ey	0.009803922
ls	suf2_in	0.078431373
ls	suf2_is	0.009803922
ls	suf2_ls	0.68627451
ls	suf2_or	0.009803922
ls	suf2_sa	0.009803922
ls	suf2_sy	0.117647059
ls-lsh	n_obs	59
ls-lsh	len_10	0.016949153
ls-lsh	len_3	0.016949153
ls-lsh	len_4	0.06779661
ls-lsh	len_5	0.169491525
ls-lsh	len_6	0.305084746
ls-lsh	len_7	0.169491525
ls-lsh	len_8	0.203389831
ls-lsh	len_9	0.050847458
ls-lsh	suf1_d	0.050847458
ls-lsh	suf1_h	0.016949153
ls-lsh	suf1_l	0.084745763
ls-lsh	suf1_n	0.016949153
ls-lsh	suf1_o	0.101694915
ls-lsh	suf1_r	0.13559322
ls-lsh	suf1_y	0.593220339
ls-lsh	suf2_al	0.050847458
ls-lsh	suf2_ar	0.050847458
ls-lsh	suf2_dr	0.016949153
ls-lsh	suf2_dy	0.254237288
ls-lsh	suf2_hd	0.033898305
ls-lsh	suf2_hl	0.016949153
ls-lsh	suf2_ho	0.084745763
ls-lsh	suf2_hy	0.288135593
ls-lsh	suf2_in	0.016949153
ls-lsh	suf2_ir	0.016949153
ls-lsh	suf2_ly	0.016949153
ls-lsh	suf2_od	0.016949153
ls-lsh	suf2_ol	0.016949153
ls-lsh	suf2_or	0.050847458
ls-lsh	suf2_qo	0.016949153
ls-lsh	suf2_sh	0.016949153
ls-lsh	suf2_sy	0.016949153
ls-lsh	suf2_ty	0.016949153
ls-lsh-ok	n_obs	5
ls-lsh-ok	len_10	0.2
ls-lsh-ok	len_7	0.6
ls-lsh-ok	len_8	0.2
ls-lsh-ok	suf1_l	0.2
ls-lsh-ok	suf1_y	0.8
ls-lsh-ok	suf2_dy	0.2
ls-lsh-ok	suf2_hy	0.6
ls-lsh-ok	suf2_ol	0.2
ls-lsh-ok-qok	n_obs	1
ls-lsh-ok-qok	len_7	1
ls-lsh-ok-qok	suf1_h	1
ls-lsh-ok-qok	suf2_sh	1
ls-lsh-tc-tch	n_obs	1
ls-lsh-tc-tch	len_9	1
ls-lsh-tc-tch	suf1_l	1
ls-lsh-tc-tch	suf2_ol	1
ls-ok	n_obs	2
ls-ok	len_5	1
ls-ok	suf1_s	1
ls-ok	suf2_ls	1
ls-op	n_obs	2
ls-op	len_5	0.5
ls-op	len_6	0.5
ls-op	suf1_s	0.5
ls-op	suf1_y	0.5
ls-op	suf2_ls	0.5
ls-op	suf2_sy	0.5
ls-otc-tc-tch	n_obs	1
ls-otc-tc-tch	len_9	1
ls-otc-tc-tch	suf1_s	1
ls-otc-tc-tch	suf2_ls	1
ls-tc-tch	n_obs	2
ls-tc-tch	len_6	0.5
ls-tc-tch	len_7	0.5
ls-tc-tch	suf1_s	1
ls-tc-tch	suf2_ls	1
oe	n_obs	49
oe	len_11	0.020408163
oe	len_3	0.020408163
oe	len_4	0.12244898
oe	len_5	0.204081633
oe	len_6	0.224489796
oe	len_7	0.306122449
oe	len_8	0.06122449
oe	len_9	0.040816327
oe	suf1_a	0.020408163
oe	suf1_e	0.020408163
oe	suf1_l	0.12244898
oe	suf1_n	0.142857143
oe	suf1_r	0.224489796
oe	suf1_s	0.102040816
oe	suf1_y	0.367346939
oe	suf2_al	0.06122449
oe	suf2_an	0.020408163
oe	suf2_ar	0.06122449
oe	suf2_cs	0.020408163
oe	suf2_dr	0.020408163
oe	suf2_dy	0.102040816
oe	suf2_er	0.040816327
oe	suf2_es	0.020408163
oe	suf2_ey	0.020408163
oe	suf2_fy	0.040816327
oe	suf2_hy	0.081632653
oe	suf2_il	0.020408163
oe	suf2_in	0.12244898
oe	suf2_ir	0.040816327
oe	suf2_ky	0.081632653
oe	suf2_la	0.020408163
oe	suf2_oe	0.020408163
oe	suf2_ol	0.040816327
oe	suf2_or	0.06122449
oe	suf2_os	0.06122449
oe	suf2_py	0.020408163
oe	suf2_ty	0.020408163
oe-ok	n_obs	2
oe-ok	len_5	0.5
oe-ok	len_6	0.5
oe-ok	suf1_s	0.5
oe-ok	suf1_y	0.5
oe-ok	suf2_ey	0.5
oe-ok	suf2_os	0.5
oe-pc	n_obs	3
oe-pc	len_7	0.666666667
oe-pc	len_8	0.333333333
oe-pc	suf1_l	1
oe-pc	suf2_al	0.333333333
oe-pc	suf2_ol	0.666666667
oe-pc-qoe	n_obs	1
oe-pc-qoe	len_7	1
oe-pc-qoe	suf1_y	1
oe-pc-qoe	suf2_hy	1
oe-qoe	n_obs	26
oe-qoe	len_5	0.423076923
oe-qoe	len_6	0.269230769
oe-qoe	len_7	0.115384615
oe-qoe	len_8	0.192307692
oe-qoe	suf1_e	0.038461538
oe-qoe	suf1_g	0.038461538
oe-qoe	suf1_l	0.230769231
oe-qoe	suf1_m	0.038461538
oe-qoe	suf1_n	0.153846154
oe-qoe	suf1_r	0.269230769
oe-qoe	suf1_y	0.230769231
oe-qoe	suf2_al	0.038461538
oe-qoe	suf2_am	0.038461538
oe-qoe	suf2_ar	0.192307692
oe-qoe	suf2_dy	0.153846154
oe-qoe	suf2_hg	0.038461538
oe-qoe	suf2_in	0.153846154
oe-qoe	suf2_ir	0.038461538
oe-qoe	suf2_ky	0.038461538
oe-qoe	suf2_ly	0.038461538
oe-qoe	suf2_ol	0.192307692
oe-qoe	suf2_or	0.038461538
oe-qoe	suf2_te	0.038461538
oe-tc-tch	n_obs	2
oe-tc-tch	len_7	0.5
oe-tc-tch	len_8	0.5
oe-tc-tch	suf1_y	1
oe-tc-tch	suf2_dy	0.5
oe-tc-tch	suf2_hy	0.5
oe-yk	n_obs	1
oe-yk	len_6	1
oe-yk	suf1_r	1
oe-yk	suf2_ar	1
oe-yt	n_obs	1
oe-yt	len_8	1
oe-yt	suf1_r	1
oe-yt	suf2_ar	1
ok	n_obs	1243
ok	len_10	0.002413516
ok	len_11	0.000804505
ok	len_2	0.003218021
ok	len_3	0.06918745
ok	len_4	0.292035398
ok	len_5	0.254223652
ok	len_6	0.270313757
ok	len_7	0.057924377
ok	len_8	0.041834272
ok	len_9	0.008045052
ok	suf1_a	0.004022526
ok	suf1_d	0.014481094
ok	suf1_g	0.003218021
ok	suf1_i	0.00160901
ok	suf1_k	0.008849558
ok	suf1_l	0.19227675
ok	suf1_m	0.038616251
ok	suf1_n	0.273531778
ok	suf1_o	0.023330652
ok	suf1_r	0.167337088
ok	suf1_s	0.012067578
ok	suf1_t	0.00160901
ok	suf1_y	0.259050684
ok	suf2_ad	0.000804505
ok	suf2_ag	0.000804505
ok	suf2_ai	0.00160901
ok	suf2_al	0.116653258
ok	suf2_am	0.030571199
ok	suf2_an	0.006436042
ok	suf2_ar	0.099758648
ok	suf2_as	0.00160901
ok	suf2_ay	0.00160901
ok	suf2_da	0.002413516
ok	suf2_dm	0.000804505
ok	suf2_dy	0.05390185
ok	suf2_eo	0.000804505
ok	suf2_et	0.000804505
ok	suf2_hd	0.004827031
ok	suf2_ho	0.008045052
ok	suf2_hy	0.05390185
ok	suf2_il	0.000804505
ok	suf2_im	0.000804505
ok	suf2_in	0.267095736
ok	suf2_ir	0.024939662
ok	suf2_is	0.00160901
ok	suf2_ka	0.00160901
ok	suf2_ko	0.008849558
ok	suf2_ky	0.106999195
ok	suf2_ld	0.000804505
ok	suf2_lo	0.004022526
ok	suf2_ly	0.024135157
ok	suf2_ny	0.000804505
ok	suf2_od	0.004022526
ok	suf2_og	0.002413516
ok	suf2_ok	0.008849558
ok	suf2_ol	0.074014481
ok	suf2_om	0.005631537
ok	suf2_or	0.042638777
ok	suf2_os	0.008045052
ok	suf2_oy	0.003218021
ok	suf2_rm	0.000804505
ok	suf2_ro	0.00160901
ok	suf2_ry	0.011263073
ok	suf2_sd	0.000804505
ok	suf2_st	0.000804505
ok	suf2_sy	0.003218021
ok	suf2_yd	0.003218021
ok	suf2_yl	0.000804505
ok	suf2_ys	0.000804505
ok-op-qok	n_obs	1
ok-op-qok	len_6	1
ok-op-qok	suf1_y	1
ok-op-qok	suf2_py	1
ok-otc-tc-tch	n_obs	3
ok-otc-tc-tch	len_7	0.666666667
ok-otc-tc-tch	len_9	0.333333333
ok-otc-tc-tch	suf1_r	0.333333333
ok-otc-tc-tch	suf1_y	0.666666667
ok-otc-tc-tch	suf2_ar	0.333333333
ok-otc-tc-tch	suf2_ky	0.666666667
ok-pc	n_obs	1
ok-pc	len_9	1
ok-pc	suf1_y	1
ok-pc	suf2_hy	1
ok-qok	n_obs	1311
ok-qok	len_10	0.000762777
ok-qok	len_3	0.004576659
ok-qok	len_4	0.107551487
ok-qok	len_5	0.340961098
ok-qok	len_6	0.277650648
ok-qok	len_7	0.248665141
ok-qok	len_8	0.014492754
ok-qok	len_9	0.005339436
ok-qok	suf1_d	0.010678871
ok-qok	suf1_g	0.000762777
ok-qok	suf1_h	0.001525553
ok-qok	suf1_k	0.004576659
ok-qok	suf1_l	0.20747521
ok-qok	suf1_m	0.023646072
ok-qok	suf1_n	0.369183829
ok-qok	suf1_o	0.012967201
ok-qok	suf1_r	0.142639207
ok-qok	suf1_s	0.006102212
ok-qok	suf1_y	0.22044241
ok-qok	suf2_al	0.125858124
ok-qok	suf2_am	0.020594966
ok-qok	suf2_an	0.004576659
ok-qok	suf2_ar	0.101449275
ok-qok	suf2_as	0.001525553
ok-qok	suf2_ay	0.000762777
ok-qok	suf2_ch	0.000762777
ok-qok	suf2_dy	0.06331045
ok-qok	suf2_hd	0.004576659
ok-qok	suf2_ho	0.004576659
ok-qok	suf2_hs	0.000762777
ok-qok	suf2_hy	0.045003814
ok-qok	suf2_il	0.000762777
ok-qok	suf2_im	0.001525553
ok-qok	suf2_in	0.363844394
ok-qok	suf2_ir	0.013729977
ok-qok	suf2_is	0.000762777
ok-qok	suf2_iy	0.000762777
ok-qok	suf2_kg	0.000762777
ok-qok	suf2_kl	0.006864989
ok-qok	suf2_ko	0.006864989
ok-qok	suf2_ky	0.094584287
ok-qok	suf2_ld	0.000762777
ok-qok	suf2_ly	0.012204424
ok-qok	suf2_mo	0.000762777
ok-qok	suf2_od	0.005339436
ok-qok	suf2_ok	0.004576659
ok-qok	suf2_ol	0.072463768
ok-qok	suf2_om	0.001525553
ok-qok	suf2_on	0.000762777
ok-qok	suf2_or	0.026697178
ok-qok	suf2_os	0.003051106
ok-qok	suf2_oy	0.00228833
ok-qok	suf2_ro	0.000762777
ok-qok	suf2_ry	0.001525553
ok-qok	suf2_sh	0.000762777
ok-qok	suf2_yl	0.001525553
ok-qok	suf2_yr	0.000762777
ok-qok-yc-ych	n_obs	1
ok-qok-yc-ych	len_8	1
ok-qok-yc-ych	suf1_y	1
ok-qok-yc-ych	suf2_dy	1
ok-qok-yk	n_obs	1
ok-qok-yk	len_8	1
ok-qok-yk	suf1_y	1
ok-qok-yk	suf2_ky	1
ok-qok-yt	n_obs	1
ok-qok-yt	len_11	1
ok-qok-yt	suf1_y	1
ok-qok-yt	suf2_ky	1
ok-tc-tch	n_obs	3
ok-tc-tch	len_6	0.666666667
ok-tc-tch	len_7	0.333333333
ok-tc-tch	suf1_d	0.333333333
ok-tc-tch	suf1_y	0.666666667
ok-tc-tch	suf2_ky	0.666666667
ok-tc-tch	suf2_yd	0.333333333
ok-tc-tch-yt-ytc	n_obs	1
ok-tc-tch-yt-ytc	len_7	1
ok-tc-tch-yt-ytc	suf1_y	1
ok-tc-tch-yt-ytc	suf2_ky	1
ok-yc-ych	n_obs	1
ok-yc-ych	len_9	1
ok-yc-ych	suf1_y	1
ok-yc-ych	suf2_hy	1
ok-yt	n_obs	4
ok-yt	len_6	0.5
ok-yt	len_7	0.25
ok-yt	len_8	0.25
ok-yt	suf1_n	0.25
ok-yt	suf1_r	0.5
ok-yt	suf1_t	0.25
ok-yt	suf2_ar	0.5
ok-yt	suf2_in	0.25
ok-yt	suf2_yt	0.25
op	n_obs	139
op	len_10	0.021582734
op	len_2	0.007194245
op	len_3	0.057553957
op	len_4	0.258992806
op	len_5	0.151079137
op	len_6	0.244604317
op	len_7	0.09352518
op	len_8	0.122302158
op	len_9	0.043165468
op	suf1_a	0.007194245
op	suf1_d	0.014388489
op	suf1_g	0.007194245
op	suf1_l	0.143884892
op	suf1_m	0.100719424
op	suf1_n	0.251798561
op	suf1_o	0.028776978
op	suf1_p	0.021582734
op	suf1_r	0.201438849
op	suf1_s	0.014388489
op	suf1_y	0.208633094
op	suf2_al	0.100719424
op	suf2_am	0.071942446
op	suf2_ar	0.100719424
op	suf2_do	0.007194245
op	suf2_dy	0.057553957
op	suf2_ey	0.007194245
op	suf2_ho	0.007194245
op	suf2_hy	0.014388489
op	suf2_il	0.007194245
op	suf2_im	0.014388489
op	suf2_in	0.251798561
op	suf2_ir	0.035971223
op	suf2_is	0.007194245
op	suf2_lg	0.007194245
op	suf2_lo	0.007194245
op	suf2_ly	0.035971223
op	suf2_od	0.014388489
op	suf2_ol	0.035971223
op	suf2_om	0.014388489
op	suf2_op	0.021582734
op	suf2_or	0.064748201
op	suf2_pa	0.007194245
op	suf2_po	0.007194245
op	suf2_py	0.057553957
op	suf2_ry	0.028776978
op	suf2_sy	0.007194245
op	suf2_ys	0.007194245
op-opc-pc	n_obs	78
op-opc-pc	len_10	0.012820513
op-opc-pc	len_12	0.012820513
op-opc-pc	len_4	0.012820513
op-opc-pc	len_5	0.179487179
op-opc-pc	len_6	0.448717949
op-opc-pc	len_7	0.153846154
op-opc-pc	len_8	0.166666667
op-opc-pc	len_9	0.012820513
op-opc-pc	suf1_d	0.051282051
op-opc-pc	suf1_g	0.012820513
op-opc-pc	suf1_h	0.012820513
op-opc-pc	suf1_l	0.115384615
op-opc-pc	suf1_m	0.012820513
op-opc-pc	suf1_n	0.051282051
op-opc-pc	suf1_o	0.038461538
op-opc-pc	suf1_r	0.141025641
op-opc-pc	suf1_y	0.564102564
op-opc-pc	suf2_al	0.064102564
op-opc-pc	suf2_am	0.012820513
op-opc-pc	suf2_ar	0.038461538
op-opc-pc	suf2_ch	0.012820513
op-opc-pc	suf2_dg	0.012820513
op-opc-pc	suf2_dy	0.307692308
op-opc-pc	suf2_ey	0.012820513
op-opc-pc	suf2_ho	0.038461538
op-opc-pc	suf2_hy	0.230769231
op-opc-pc	suf2_in	0.051282051
op-opc-pc	suf2_ly	0.012820513
op-opc-pc	suf2_od	0.012820513
op-opc-pc	suf2_ol	0.051282051
op-opc-pc	suf2_or	0.102564103
op-opc-pc	suf2_rd	0.012820513
op-opc-pc	suf2_sd	0.025641026
op-opc-pc-qop	n_obs	44
op-opc-pc-qop	len_10	0.022727273
op-opc-pc-qop	len_6	0.272727273
op-opc-pc-qop	len_7	0.613636364
op-opc-pc-qop	len_8	0.068181818
op-opc-pc-qop	len_9	0.022727273
op-opc-pc-qop	suf1_d	0.045454545
op-opc-pc-qop	suf1_l	0.090909091
op-opc-pc-qop	suf1_m	0.022727273
op-opc-pc-qop	suf1_n	0.022727273
op-opc-pc-qop	suf1_o	0.022727273
op-opc-pc-qop	suf1_r	0.113636364
op-opc-pc-qop	suf1_s	0.022727273
op-opc-pc-qop	suf1_y	0.659090909
op-opc-pc-qop	suf2_am	0.022727273
op-opc-pc-qop	suf2_ar	0.045454545
op-opc-pc-qop	suf2_dy	0.363636364
op-opc-pc-qop	suf2_hd	0.022727273
op-opc-pc-qop	suf2_ho	0.022727273
op-opc-pc-qop	suf2_hy	0.272727273
op-opc-pc-qop	suf2_in	0.022727273
op-opc-pc-qop	suf2_is	0.022727273
op-opc-pc-qop	suf2_ly	0.022727273
op-opc-pc-qop	suf2_ol	0.090909091
op-opc-pc-qop	suf2_or	0.045454545
op-opc-pc-qop	suf2_sd	0.022727273
op-opc-pc-qop	suf2_yr	0.022727273
op-opc-pc-tc-yt-ytc	n_obs	1
op-opc-pc-tc-yt-ytc	len_8	1
op-opc-pc-tc-yt-ytc	suf1_y	1
op-opc-pc-tc-yt-ytc	suf2_cy	1
op-qop	n_obs	42
op-qop	len_3	0.119047619
op-qop	len_4	0.142857143
op-qop	len_5	0.380952381
op-qop	len_6	0.047619048
op-qop	len_7	0.214285714
op-qop	len_8	0.047619048
op-qop	len_9	0.047619048
op-qop	suf1_l	0.19047619
op-qop	suf1_m	0.047619048
op-qop	suf1_n	0.261904762
op-qop	suf1_p	0.119047619
op-qop	suf1_r	0.214285714
op-qop	suf1_y	0.166666667
op-qop	suf2_al	0.047619048
op-qop	suf2_am	0.047619048
op-qop	suf2_ar	0.119047619
op-qop	suf2_in	0.261904762
op-qop	suf2_ol	0.142857143
op-qop	suf2_op	0.119047619
op-qop	suf2_or	0.095238095
op-qop	suf2_py	0.142857143
op-qop	suf2_ry	0.023809524
op-yc-ych	n_obs	2
op-yc-ych	len_7	0.5
op-yc-ych	len_9	0.5
op-yc-ych	suf1_g	0.5
op-yc-ych	suf1_y	0.5
op-yc-ych	suf2_dg	0.5
op-yc-ych	suf2_py	0.5
op-yt	n_obs	1
op-yt	len_9	1
op-yt	suf1_p	1
op-yt	suf2_op	1
otc-tc	n_obs	2
otc-tc	len_6	1
otc-tc	suf1_o	0.5
otc-tc	suf1_y	0.5
otc-tc	suf2_do	0.5
otc-tc	suf2_ey	0.5
otc-tc-tch	n_obs	289
otc-tc-tch	len_10	0.006920415
otc-tc-tch	len_11	0.003460208
otc-tc-tch	len_4	0.006920415
otc-tc-tch	len_5	0.186851211
otc-tc-tch	len_6	0.46366782
otc-tc-tch	len_7	0.23183391
otc-tc-tch	len_8	0.076124567
otc-tc-tch	len_9	0.024221453
otc-tc-tch	suf1_d	0.038062284
otc-tc-tch	suf1_h	0.006920415
otc-tc-tch	suf1_l	0.138408304
otc-tc-tch	suf1_m	0.027681661
otc-tc-tch	suf1_n	0.031141869
otc-tc-tch	suf1_o	0.055363322
otc-tc-tch	suf1_r	0.103806228
otc-tc-tch	suf1_s	0.027681661
otc-tc-tch	suf1_t	0.003460208
otc-tc-tch	suf1_y	0.567474048
otc-tc-tch	suf2_al	0.027681661
otc-tc-tch	suf2_am	0.020761246
otc-tc-tch	suf2_ar	0.031141869
otc-tc-tch	suf2_ch	0.006920415
