section	C	P	V	A	total	V_over_VP	C_over_total
Astronomical/Zodiac	57	2092	907	0	3056	0.302434144714905	0.018651832460732983
Biological	138	3404	3373	0	6915	0.4977128522945256	0.019956616052060738
Cosmological	39	1196	583	0	1818	0.32771219786396855	0.02145214521452145
Herbal	381	6791	4273	0	11445	0.38620751988430946	0.03328964613368283
Pharmaceutical	49	2212	1523	0	3784	0.407764390896921	0.012949260042283297
Recipes	210	5771	4700	0	10681	0.44885875274567855	0.01966108042318135
Unknown	2	108	77	0	187	0.41621621621621624	0.0106951871657754
