token	folio	line	pos	section	left_score	right_score	pred_side	VPCA2
fachys	f1r	1	1	Herbal	0.0	0.0	unknown	P
ykal	f1r	1	2	Herbal	43.2	3.6	left	V
ar	f1r	1	3	Herbal	0.0	0.0	unknown	P
ataiin	f1r	1	4	Herbal	0.0	0.0	unknown	P
shol	f1r	1	5	Herbal	0.0	0.0	unknown	P
shory	f1r	1	6	Herbal	0.0	0.0	unknown	P
cthres	f1r	1	7	Herbal	51.0	3.0	left	V
y	f1r	1	8	Herbal	0.0	0.0	unknown	P
kor	f1r	1	9	Herbal	2.0	24.0	right	P
sholdy	f1r	1	10	Herbal	0.0	0.0	unknown	P
sory	f1r	2	1	Herbal	0.0	0.0	unknown	P
ckhar	f1r	2	2	Herbal	77.0	0.0	left	V
or	f1r	2	3	Herbal	0.0	5.0	right	P
y	f1r	2	4	Herbal	0.0	0.0	unknown	P
kair	f1r	2	5	Herbal	2.0	24.0	right	P
chtaiin	f1r	2	6	Herbal	51.0	0.0	left	V
shar	f1r	2	7	Herbal	0.0	0.0	unknown	P
are	f1r	2	8	Herbal	0.0	0.0	unknown	P
cthar	f1r	2	9	Herbal	51.0	3.0	left	V
cthar	f1r	2	10	Herbal	51.0	3.0	left	V
dan	f1r	2	11	Herbal	2.0	30.0	right	P
syaiir	f1r	3	1	Herbal	0.0	0.0	unknown	P
sheky	f1r	3	2	Herbal	6.0	0.0	left	V
or	f1r	3	3	Herbal	0.0	5.0	right	P
ykaiin	f1r	3	4	Herbal	43.2	3.6	left	V
shod	f1r	3	5	Herbal	0.0	0.0	unknown	P
cthoary	f1r	3	6	Herbal	51.0	3.0	left	V
cthes	f1r	3	7	Herbal	57.0	3.0	left	V
daraiin	f1r	3	8	Herbal	2.0	30.0	right	P
sa	f1r	3	9	Herbal	0.0	0.0	unknown	P
ooiin	f1r	4	1	Herbal	0.0	5.0	right	P
oteey	f1r	4	2	Herbal	3.0	5.0	right	P
oteos	f1r	4	3	Herbal	0.0	5.0	right	P
roloty	f1r	4	4	Herbal	0.0	0.0	unknown	C
cth?ar	f1r	4	5	Herbal				P
daiin	f1r	4	6	Herbal	2.0	30.0	right	P
otaiin	f1r	4	7	Herbal	0.0	5.0	right	P
or	f1r	4	8	Herbal	0.0	5.0	right	P
okan	f1r	4	9	Herbal	0.75	77.0	right	P
dair	f1r	5	1	Herbal	2.0	30.0	right	P
y	f1r	5	2	Herbal	0.0	0.0	unknown	P
chear	f1r	5	3	Herbal	60.400000000000006	0.0	left	V
cthaiin	f1r	5	4	Herbal	51.0	3.0	left	V
cphar	f1r	5	5	Herbal	51.0	0.0	left	V
cfhaiin	f1r	5	6	Herbal	51.0	0.0	left	V
ydaraishy	f1r	6	1	Herbal				P
odar	f1r	7	1	Herbal	0.0	5.0	right	P
o	f1r	7	2	Herbal	0.0	5.0	right	P
y	f1r	7	3	Herbal	0.0	0.0	unknown	P
shol	f1r	7	4	Herbal	0.0	0.0	unknown	P
cphoy	f1r	7	5	Herbal	51.0	0.0	left	V
oydar	f1r	7	6	Herbal	0.0	5.0	right	P
sh	f1r	7	7	Herbal	0.0	17.0	right	P
s	f1r	7	8	Herbal	0.0	0.0	unknown	P
cfhoaiin	f1r	7	9	Herbal	51.0	0.0	left	V
shodary	f1r	7	10	Herbal	0.0	0.0	unknown	P
yshey	f1r	8	1	Herbal	6.0	0.0	left	V
shody	f1r	8	2	Herbal	0.0	0.0	unknown	P
okchoy	f1r	8	3	Herbal	0.75	77.0	right	P
otchol	f1r	8	4	Herbal	0.0	14.0	right	P
chocthy	f1r	8	5	Herbal	51.0	3.0	left	V
oschy	f1r	8	6	Herbal	0.0	5.0	right	P
dain	f1r	8	7	Herbal	2.0	30.0	right	P
chor	f1r	8	8	Herbal	51.0	0.0	left	V
kos	f1r	8	9	Herbal	2.0	24.0	right	P
daiin	f1r	9	1	Herbal	2.0	30.0	right	P
shos	f1r	9	2	Herbal	0.0	0.0	unknown	P
cfhol	f1r	9	3	Herbal	51.0	0.0	left	V
shody	f1r	9	4	Herbal	0.0	0.0	unknown	P
dain	f1r	10	1	Herbal	2.0	30.0	right	P
os	f1r	10	2	Herbal	0.0	5.0	right	P
teody	f1r	10	3	Herbal	0.0	0.0	unknown	P
ydain	f1r	11	1	Herbal	0.0	0.0	unknown	P
cphesaiin	f1r	11	2	Herbal	57.0	0.0	left	V
ol	f1r	11	3	Herbal	0.0	5.0	right	P
s	f1r	11	4	Herbal	0.0	0.0	unknown	P
cphey	f1r	11	5	Herbal	57.0	0.0	left	V
ytain	f1r	11	6	Herbal	0.0	4.0	right	P
shoshy	f1r	11	7	Herbal	0.0	0.0	unknown	P
cphodales	f1r	11	8	Herbal	51.0	0.0	left	V
oksho	f1r	12	1	Herbal	0.75	77.0	right	P
kshoy	f1r	12	2	Herbal	2.0	24.0	right	P
otairin	f1r	12	3	Herbal	0.0	5.0	right	P
oteol	f1r	12	4	Herbal	0.0	5.0	right	P
okan	f1r	12	5	Herbal	0.75	77.0	right	P
shodain	f1r	12	6	Herbal	0.0	0.0	unknown	P
sckhey	f1r	12	7	Herbal	6.0	0.0	left	V
daiin	f1r	12	8	Herbal	2.0	30.0	right	P
shoy	f1r	13	1	Herbal	0.0	0.0	unknown	P
ckhey	f1r	13	2	Herbal	83.0	0.0	left	V
kodaiin	f1r	13	3	Herbal	2.0	24.0	right	P
cphy	f1r	13	4	Herbal	51.0	0.0	left	V
cphodaiils	f1r	13	5	Herbal	53.0	0.0	left	V
cthey	f1r	13	6	Herbal	57.0	3.0	left	V
she	f1r	13	7	Herbal	24.0	0.0	left	V
oldain	f1r	13	8	Herbal	0.0	5.0	right	P
d	f1r	13	9	Herbal	2.0	30.0	right	P
dain	f1r	14	1	Herbal	2.0	30.0	right	P
oiin	f1r	14	2	Herbal	0.0	5.0	right	P
chol	f1r	14	3	Herbal	51.0	0.0	left	V
odaiin	f1r	14	4	Herbal	0.0	5.0	right	P
chodain	f1r	14	5	Herbal	51.0	0.0	left	V
chdy	f1r	14	6	Herbal	51.0	0.0	left	V
okain	f1r	14	7	Herbal	0.75	77.0	right	P
dan	f1r	14	8	Herbal	2.0	30.0	right	P
cthy	f1r	14	9	Herbal	51.0	3.0	left	V
kod	f1r	14	10	Herbal	2.0	24.0	right	P
daiin	f1r	15	1	Herbal	2.0	30.0	right	P
shckhey	f1r	15	2	Herbal	6.0	24.0	right	P
ckeor	f1r	15	3	Herbal	56.0	0.0	left	V
chor	f1r	15	4	Herbal	51.0	0.0	left	V
shey	f1r	15	5	Herbal	6.0	0.0	left	V
kol	f1r	15	6	Herbal	2.0	24.0	right	P
chol	f1r	15	7	Herbal	51.0	0.0	left	V
chol	f1r	15	8	Herbal	51.0	0.0	left	V
kor	f1r	15	9	Herbal	2.0	24.0	right	P
chal	f1r	15	10	Herbal	51.0	0.0	left	V
sho	f1r	16	1	Herbal	0.0	0.0	unknown	P
chol	f1r	16	2	Herbal	51.0	0.0	left	V
shodan	f1r	16	3	Herbal	0.0	0.0	unknown	P
kshy	f1r	16	4	Herbal	2.0	24.0	right	P
kchy	f1r	16	5	Herbal	28.0	24.0	left	V
dor	f1r	16	6	Herbal	2.0	30.0	right	P
chodaiin	f1r	16	7	Herbal	51.0	0.0	left	V
sho	f1r	16	8	Herbal	0.0	0.0	unknown	P
kchom	f1r	16	9	Herbal	28.0	24.0	left	V
ycho	f1r	17	1	Herbal	30.0	0.0	left	V
tchey	f1r	17	2	Herbal	9.4	7.0	left	V
chokain	f1r	17	3	Herbal	51.75	0.0	left	V
sheo	f1r	17	4	Herbal	6.0	0.0	left	V
pshol	f1r	17	5	Herbal	0.0	0.0	unknown	P
dydyd	f1r	17	6	Herbal	2.0	30.0	right	P
cthy	f1r	17	7	Herbal	51.0	3.0	left	V
daicthy	f1r	17	8	Herbal	2.0	33.0	right	P
yto	f1r	18	1	Herbal	0.0	4.0	right	P
shol	f1r	18	2	Herbal	0.0	0.0	unknown	P
she	f1r	18	3	Herbal	24.0	0.0	left	V
kodshey	f1r	18	4	Herbal	8.0	24.0	right	P
cphealy	f1r	18	5	Herbal	57.0	0.0	left	V
dasain	f1r	18	6	Herbal	2.0	30.0	right	P
dain	f1r	18	7	Herbal	2.0	30.0	right	P
ckhyds	f1r	18	8	Herbal	77.0	0.0	left	V
dchar	f1r	19	1	Herbal	32.0	36.0	right	P
shcthaiin	f1r	19	2	Herbal	0.0	31.0	right	P
okaiir	f1r	19	3	Herbal	0.75	77.0	right	P
chey	f1r	19	4	Herbal	60.4	0.0	left	V
rchy	f1r	19	5	Herbal	0.0	0.0	unknown	P
potol	f1r	19	6	Herbal	0.0	0.0	unknown	C
cthols	f1r	19	7	Herbal	53.0	3.0	left	V
dlocta	f1r	19	8	Herbal	2.0	33.0	right	P
shok	f1r	20	1	Herbal	29.55	0.0	left	V
chor	f1r	20	2	Herbal	51.0	0.0	left	V
chey	f1r	20	3	Herbal	60.4	0.0	left	V
dain	f1r	20	4	Herbal	2.0	30.0	right	P
ckhey	f1r	20	5	Herbal	83.0	0.0	left	V
otol	f1r	21	1	Herbal	0.0	5.0	right	C
daiiin	f1r	21	2	Herbal	2.0	30.0	right	P
cpho	f1r	22	1	Herbal	51.0	0.0	left	V
shaiin	f1r	22	2	Herbal	0.0	0.0	unknown	P
shokcheey	f1r	22	3	Herbal	13.15	0.0	left	V
chol	f1r	22	4	Herbal	51.0	0.0	left	V
tshodeesy	f1r	22	5	Herbal	3.0	0.0	left	V
shey	f1r	22	6	Herbal	6.0	0.0	left	V
pydeey	f1r	22	7	Herbal	3.0	0.0	left	V
chy	f1r	22	8	Herbal	51.0	0.0	left	V
ro	f1r	22	9	Herbal	0.0	0.0	unknown	P
d	f1r	22	10	Herbal	2.0	30.0	right	P
doin	f1r	23	1	Herbal	2.0	30.0	right	P
chol	f1r	23	2	Herbal	51.0	0.0	left	V
dain	f1r	23	3	Herbal	2.0	30.0	right	P
cthal	f1r	23	4	Herbal	51.0	3.0	left	V
dar	f1r	23	5	Herbal	2.0	30.0	right	P
shear	f1r	23	6	Herbal	6.0	0.0	left	V
kaiin	f1r	23	7	Herbal	2.0	24.0	right	P
dar	f1r	23	8	Herbal	2.0	30.0	right	P
shey	f1r	23	9	Herbal	6.0	0.0	left	V
cthar	f1r	23	10	Herbal	51.0	3.0	left	V
cho?o	f1r	24	1	Herbal				P
kaiin	f1r	24	2	Herbal	2.0	24.0	right	P
shoaiin	f1r	24	3	Herbal	0.0	0.0	unknown	P
okol	f1r	24	4	Herbal	0.75	77.0	right	P
daiin	f1r	24	5	Herbal	2.0	30.0	right	P
far	f1r	24	6	Herbal	0.0	0.0	unknown	P
cthol	f1r	24	7	Herbal	51.0	3.0	left	V
daiin	f1r	24	8	Herbal	2.0	30.0	right	P
ctholdar	f1r	24	9	Herbal	51.0	3.0	left	V
ycheey	f1r	25	1	Herbal	42.4	0.0	left	V
okay	f1r	25	2	Herbal	0.75	77.0	right	P
oky	f1r	25	3	Herbal	0.75	77.0	right	P
daiin	f1r	25	4	Herbal	2.0	30.0	right	P
okchey	f1r	25	5	Herbal	10.15	77.0	right	P
kokaiin	f1r	25	6	Herbal	2.75	24.0	right	P
chol	f1r	25	7	Herbal	51.0	0.0	left	V
k??chy	f1r	25	8	Herbal				P
dal	f1r	25	9	Herbal	2.0	30.0	right	P
d?eeo	f1r	26	1	Herbal				P
shody	f1r	26	2	Herbal	0.0	0.0	unknown	P
koshey	f1r	26	3	Herbal	8.0	24.0	right	P
cthy	f1r	26	4	Herbal	51.0	3.0	left	V
okchey	f1r	26	5	Herbal	10.15	77.0	right	P
keey	f1r	26	6	Herbal	8.0	24.0	right	P
keey	f1r	26	7	Herbal	8.0	24.0	right	P
dal	f1r	26	8	Herbal	2.0	30.0	right	P
chtor	f1r	26	9	Herbal	51.0	0.0	left	V
eo	f1r	27	1	Herbal	0.0	0.0	unknown	P
chol	f1r	27	2	Herbal	51.0	0.0	left	V
chok	f1r	27	3	Herbal	98.55	0.0	left	V
choty	f1r	27	4	Herbal	51.0	0.0	left	C
chotey	f1r	27	5	Herbal	51.0	0.0	left	V
dchaiin	f1r	28	1	Herbal	32.0	36.0	right	P
kchsy	f1v	1	1	Herbal				P
chadaiin	f1v	1	2	Herbal				P
ol	f1v	1	3	Herbal	0.0	5.0	right	P
oltchey	f1v	1	4	Herbal	9.4	12.0	right	P
char	f1v	1	5	Herbal	51.0	0.0	left	V
cfhar	f1v	1	6	Herbal	51.0	0.0	left	V
am	f1v	1	7	Herbal	0.0	0.0	unknown	P
yteeay	f1v	2	1	Herbal				P
char	f1v	2	2	Herbal	51.0	0.0	left	V
or	f1v	2	3	Herbal	0.0	5.0	right	P
ochy	f1v	2	4	Herbal	0.0	5.0	right	P
dcho	f1v	2	5	Herbal	32.0	36.0	right	P
lkody	f1v	2	6	Herbal	0.0	0.0	unknown	P
okodar	f1v	2	7	Herbal	0.75	77.0	right	P
chody	f1v	2	8	Herbal	51.0	0.0	left	V
do	f1v	3	1	Herbal	2.0	30.0	right	P
ckhy	f1v	3	2	Herbal	77.0	0.0	left	V
ckho	f1v	3	3	Herbal	77.0	0.0	left	V
ckhy	f1v	3	4	Herbal	77.0	0.0	left	V
shy	f1v	3	5	Herbal	0.0	0.0	unknown	P
dksheey	f1v	3	6	Herbal	11.0	30.0	right	P
cthy	f1v	3	7	Herbal	51.0	3.0	left	V
kotchody	f1v	3	8	Herbal	2.0	33.0	right	P
dal	f1v	3	9	Herbal	2.0	30.0	right	P
dol	f1v	4	1	Herbal	2.0	30.0	right	P
chokeo	f1v	4	2	Herbal				P
dair	f1v	4	3	Herbal	2.0	30.0	right	P
dam	f1v	4	4	Herbal	2.0	30.0	right	P
sochey	f1v	4	5	Herbal				P
chokody	f1v	4	6	Herbal	51.75	0.0	left	V
potoy	f1v	5	1	Herbal				P
shol	f1v	5	2	Herbal	0.0	0.0	unknown	P
dair	f1v	5	3	Herbal	2.0	30.0	right	P
cphoal	f1v	5	4	Herbal	51.0	0.0	left	V
dar	f1v	5	5	Herbal	2.0	30.0	right	P
chey	f1v	5	6	Herbal	60.4	0.0	left	V
tody	f1v	5	7	Herbal	0.0	0.0	unknown	P
otoaiin	f1v	5	8	Herbal	0.0	5.0	right	P
shoshy	f1v	5	9	Herbal	0.0	0.0	unknown	P
choky	f1v	6	1	Herbal	51.75	0.0	left	V
chol	f1v	6	2	Herbal	51.0	0.0	left	V
cthol	f1v	6	3	Herbal	51.0	3.0	left	V
shol	f1v	6	4	Herbal	0.0	0.0	unknown	P
okal	f1v	6	5	Herbal	0.75	77.0	right	P
dolchey	f1v	6	6	Herbal	11.4	34.0	right	P
chodo	f1v	6	7	Herbal	51.0	0.0	left	V
lol	f1v	6	8	Herbal	0.0	0.0	unknown	P
chy	f1v	6	9	Herbal	51.0	0.0	left	V
cthy	f1v	6	10	Herbal	51.0	3.0	left	V
qo	f1v	7	1	Herbal	0.0	0.0	unknown	P
ol	f1v	7	2	Herbal	0.0	5.0	right	P
choeee	f1v	7	3	Herbal				P
cheol	f1v	7	4	Herbal	60.4	0.0	left	V
dol	f1v	7	5	Herbal	2.0	30.0	right	P
cthey	f1v	7	6	Herbal	57.0	3.0	left	V
ykol	f1v	7	7	Herbal	43.2	3.6	left	V
dol	f1v	7	8	Herbal	2.0	30.0	right	P
dolo	f1v	7	9	Herbal	2.0	30.0	right	P
ykol	f1v	7	10	Herbal	43.2	3.6	left	V
do	f1v	7	11	Herbal	2.0	30.0	right	P
lchody	f1v	7	12	Herbal	0.0	2.0	right	P
okol	f1v	8	1	Herbal	0.75	77.0	right	P
shol	f1v	8	2	Herbal	0.0	0.0	unknown	P
kol	f1v	8	3	Herbal	2.0	24.0	right	P
kechy	f1v	8	4	Herbal	5.0	24.0	right	P
chol	f1v	8	5	Herbal	51.0	0.0	left	V
ky	f1v	8	6	Herbal	2.0	24.0	right	P
chol	f1v	8	7	Herbal	51.0	0.0	left	V
cthol	f1v	8	8	Herbal	51.0	3.0	left	V
chody	f1v	8	9	Herbal	51.0	0.0	left	V
chol	f1v	8	10	Herbal	51.0	0.0	left	V
daiin	f1v	8	11	Herbal	2.0	30.0	right	P
shor	f1v	9	1	Herbal	0.0	0.0	unknown	P
okol	f1v	9	2	Herbal	0.75	77.0	right	P
chol	f1v	9	3	Herbal	51.0	0.0	left	V
dol	f1v	9	4	Herbal	2.0	30.0	right	P
ky	f1v	9	5	Herbal	2.0	24.0	right	P
dar	f1v	9	6	Herbal	2.0	30.0	right	P
shol	f1v	9	7	Herbal	0.0	0.0	unknown	P
dchor	f1v	9	8	Herbal	32.0	36.0	right	P
otcho	f1v	9	9	Herbal	0.0	14.0	right	P
dar	f1v	9	10	Herbal	2.0	30.0	right	P
shody	f1v	9	11	Herbal	0.0	0.0	unknown	P
taor	f1v	10	1	Herbal				P
chotchey	f1v	10	2	Herbal	60.4	9.0	left	V
dal	f1v	10	3	Herbal	2.0	30.0	right	P
chody	f1v	10	4	Herbal	51.0	0.0	left	V
schody	f1v	10	5	Herbal	0.0	0.0	unknown	P
pol	f1v	10	6	Herbal	0.0	0.0	unknown	P
chodar	f1v	10	7	Herbal	51.0	0.0	left	V
kydainy	f2r	1	1	Herbal				P
ypchol	f2r	1	2	Herbal	0.0	2.0	right	P
daiin	f2r	1	3	Herbal	2.0	30.0	right	P
otchal	f2r	1	4	Herbal	0.0	14.0	right	P
ypchaiin	f2r	1	5	Herbal	0.0	2.0	right	P
ckholsy	f2r	1	6	Herbal	79.0	0.0	left	V
dorchory	f2r	2	1	Herbal				P
chkar	f2r	2	2	Herbal	51.0	0.0	left	V
s	f2r	2	3	Herbal	0.0	0.0	unknown	P
shor	f2r	2	4	Herbal	0.0	0.0	unknown	P
cthy	f2r	2	5	Herbal	51.0	3.0	left	V
cth	f2r	2	6	Herbal	69.0	20.0	left	V
qotaiin	f2r	3	1	Herbal	0.0	0.0	unknown	P
cthey	f2r	3	2	Herbal	57.0	3.0	left	V
y	f2r	3	3	Herbal	0.0	0.0	unknown	P
chor	f2r	3	4	Herbal	51.0	0.0	left	V
chy	f2r	3	5	Herbal	51.0	0.0	left	V
ydy	f2r	3	6	Herbal	0.0	0.0	unknown	P
chaiin	f2r	3	7	Herbal	51.0	0.0	left	V
chaindy	f2r	4	1	Herbal				P
chtod	f2r	4	2	Herbal				P
dy	f2r	4	3	Herbal	2.0	30.0	right	P
cphy	f2r	4	4	Herbal	51.0	0.0	left	V
dals	f2r	4	5	Herbal	4.0	30.0	right	P
chokaiin	f2r	4	6	Herbal	51.75	0.0	left	V
d	f2r	4	7	Herbal	2.0	30.0	right	P
otochor	f2r	5	1	Herbal				P
al	f2r	5	2	Herbal	0.0	0.0	unknown	P
shodaiin	f2r	5	3	Herbal	0.0	0.0	unknown	P
chol	f2r	5	4	Herbal	51.0	0.0	left	V
dan	f2r	5	5	Herbal	2.0	30.0	right	P
ytchaiin	f2r	5	6	Herbal	0.0	49.0	right	P
dan	f2r	5	7	Herbal	2.0	30.0	right	P
saiin	f2r	6	1	Herbal	0.0	0.0	unknown	P
daind	f2r	6	2	Herbal				P
dkol	f2r	6	3	Herbal				P
sor	f2r	6	4	Herbal	0.0	0.0	unknown	P
ytoldy	f2r	6	5	Herbal	0.0	4.0	right	P
dchol	f2r	6	6	Herbal	32.0	36.0	right	P
dchy	f2r	6	7	Herbal	32.0	36.0	right	P
cthy	f2r	6	8	Herbal	51.0	3.0	left	V
shor	f2r	7	1	Herbal	0.0	0.0	unknown	P
ckhy	f2r	7	2	Herbal	77.0	0.0	left	V
daiiny	f2r	7	3	Herbal				P
chol	f2r	7	4	Herbal	51.0	0.0	left	V
dan	f2r	7	5	Herbal	2.0	30.0	right	P
kydain	f2r	8	1	Herbal				P
shaiin	f2r	8	2	Herbal	0.0	0.0	unknown	P
qoy	f2r	8	3	Herbal	0.0	0.0	unknown	P
s	f2r	8	4	Herbal	0.0	0.0	unknown	P
shol	f2r	8	5	Herbal	0.0	0.0	unknown	P
fodan	f2r	8	6	Herbal				P
yksh	f2r	8	7	Herbal	49.2	20.6	left	V
olsheey	f2r	8	8	Herbal	13.0	5.0	left	V
daiildy	f2r	8	9	Herbal	2.0	30.0	right	P
dlssho	f2r	9	1	Herbal				P
kol	f2r	9	2	Herbal	2.0	24.0	right	P
sheey	f2r	9	3	Herbal	9.0	0.0	left	V
qokey	f2r	9	4	Herbal	45.75	0.0	left	V
ykody	f2r	9	5	Herbal				P
so	f2r	9	6	Herbal	0.0	0.0	unknown	P
chol	f2r	9	7	Herbal	51.0	0.0	left	V
yky	f2r	9	8	Herbal	43.2	3.6	left	V
dain	f2r	9	9	Herbal	2.0	30.0	right	P
daiirol	f2r	9	10	Herbal	2.0	30.0	right	P
qoky	f2r	10	1	Herbal	39.75	0.0	left	V
cholaiin	f2r	10	2	Herbal	51.0	0.0	left	V
shol	f2r	10	3	Herbal	0.0	0.0	unknown	P
sheky	f2r	10	4	Herbal	6.0	0.0	left	V
daiin	f2r	10	5	Herbal	2.0	30.0	right	P
cthey	f2r	10	6	Herbal	57.0	3.0	left	V
keol	f2r	10	7	Herbal	5.0	24.0	right	P
saiin	f2r	10	8	Herbal	0.0	0.0	unknown	P
saiin	f2r	10	9	Herbal	0.0	0.0	unknown	P
ychain	f2r	11	1	Herbal				P
dal	f2r	11	2	Herbal	2.0	30.0	right	P
chy	f2r	11	3	Herbal	51.0	0.0	left	V
dalor	f2r	11	4	Herbal	2.0	30.0	right	P
shan	f2r	11	5	Herbal	0.0	0.0	unknown	P
dan	f2r	11	6	Herbal	2.0	30.0	right	P
olsaiin	f2r	11	7	Herbal	2.0	5.0	right	P
sheey	f2r	11	8	Herbal	9.0	0.0	left	V
ckhor	f2r	11	9	Herbal	77.0	0.0	left	V
okol	f2r	12	1	Herbal	0.75	77.0	right	P
chy	f2r	12	2	Herbal	51.0	0.0	left	V
chor	f2r	12	3	Herbal	51.0	0.0	left	V
cthor	f2r	12	4	Herbal	51.0	3.0	left	V
yor	f2r	12	5	Herbal				P
an	f2r	12	6	Herbal	0.0	0.0	unknown	P
chan	f2r	12	7	Herbal	51.0	0.0	left	V
saiin	f2r	12	8	Herbal	0.0	0.0	unknown	P
chety	f2r	12	9	Herbal	60.4	0.0	left	V
chyky	f2r	12	10	Herbal	51.0	2.0	left	V
sal	f2r	12	11	Herbal	0.0	0.0	unknown	P
sho	f2r	13	1	Herbal	0.0	0.0	unknown	P
ykeey	f2r	13	2	Herbal	49.2	3.6000000000000005	left	V
chey	f2r	13	3	Herbal	60.4	0.0	left	V
daiin	f2r	13	4	Herbal	2.0	30.0	right	P
chcthy	f2r	13	5	Herbal	51.0	31.0	left	V
kooiin	f2v	1	1	Herbal				P
cheo	f2v	1	2	Herbal	60.4	0.0	left	V
pchor	f2v	1	3	Herbal	0.0	2.0	right	P
otaiin	f2v	1	4	Herbal	0.0	5.0	right	P
o	f2v	1	5	Herbal	0.0	5.0	right	P
dain	f2v	1	6	Herbal	2.0	30.0	right	P
chor	f2v	1	7	Herbal	51.0	0.0	left	V
dair	f2v	1	8	Herbal	2.0	30.0	right	P
shty	f2v	1	9	Herbal	0.0	0.0	unknown	P
kcho	f2v	2	1	Herbal	28.0	24.0	left	V
kchy	f2v	2	2	Herbal	28.0	24.0	left	V
sho	f2v	2	3	Herbal	0.0	0.0	unknown	P
shol	f2v	2	4	Herbal	0.0	0.0	unknown	P
qotcho	f2v	2	5	Herbal	0.0	9.0	right	P
loeees	f2v	2	6	Herbal	5.0	0.0	left	V
qoty	f2v	2	7	Herbal	0.0	0.0	unknown	C
chor	f2v	2	8	Herbal	51.0	0.0	left	V
daiin	f2v	2	9	Herbal	2.0	30.0	right	P
otchy	f2v	3	1	Herbal	0.0	14.0	right	C
chor	f2v	3	2	Herbal	51.0	0.0	left	V
lshy	f2v	3	3	Herbal				P
chol	f2v	3	4	Herbal	51.0	0.0	left	V
chody	f2v	3	5	Herbal	51.0	0.0	left	V
chodain	f2v	3	6	Herbal	51.0	0.0	left	V
chcthy	f2v	3	7	Herbal	51.0	31.0	left	V
daiin	f2v	3	8	Herbal	2.0	30.0	right	P
sho	f2v	4	1	Herbal	0.0	0.0	unknown	P
cholo	f2v	4	2	Herbal	51.0	0.0	left	V
cheor	f2v	4	3	Herbal	60.4	0.0	left	V
chodaiin	f2v	4	4	Herbal	51.0	0.0	left	V
kchor	f2v	5	1	Herbal	28.0	24.0	left	V
shy	f2v	5	2	Herbal	0.0	0.0	unknown	P
daiiin	f2v	5	3	Herbal	2.0	30.0	right	P
chckhoy	f2v	5	4	Herbal				P
s	f2v	5	5	Herbal	0.0	0.0	unknown	P
shey	f2v	5	6	Herbal	6.0	0.0	left	V
dor	f2v	5	7	Herbal	2.0	30.0	right	P
chol	f2v	5	8	Herbal	51.0	0.0	left	V
daiin	f2v	5	9	Herbal	2.0	30.0	right	P
dor	f2v	6	1	Herbal	2.0	30.0	right	P
chol	f2v	6	2	Herbal	51.0	0.0	left	V
chor	f2v	6	3	Herbal	51.0	0.0	left	V
chol	f2v	6	4	Herbal	51.0	0.0	left	V
keol	f2v	6	5	Herbal	5.0	24.0	right	P
chy	f2v	6	6	Herbal	51.0	0.0	left	V
chty	f2v	6	7	Herbal	51.0	0.0	left	V
daiin	f2v	6	8	Herbal	2.0	30.0	right	P
otchor	f2v	6	9	Herbal	0.0	14.0	right	C
chan	f2v	6	10	Herbal	51.0	0.0	left	V
daiin	f2v	7	1	Herbal	2.0	30.0	right	P
chotchey	f2v	7	2	Herbal	60.4	9.0	left	V
qoteeey	f2v	7	3	Herbal	3.0	0.0	left	V
chokeos	f2v	7	4	Herbal				P
chees	f2v	7	5	Herbal	63.4	0.0	left	V
chr	f2v	7	6	Herbal	51.0	0.0	left	V
cheaiin	f2v	7	7	Herbal	60.4	0.0	left	V
chokoishe	f2v	8	1	Herbal				P
chor	f2v	8	2	Herbal	51.0	0.0	left	V
cheol	f2v	8	3	Herbal	60.4	0.0	left	V
chol	f2v	8	4	Herbal	51.0	0.0	left	V
dolody	f2v	8	5	Herbal				P
tsheos	f3r	1	1	Herbal	6.0	0.0	left	V
qopal	f3r	1	2	Herbal	0.0	29.0	right	P
chol	f3r	1	3	Herbal	51.0	0.0	left	V
cthol	f3r	1	4	Herbal	51.0	3.0	left	V
daimm	f3r	1	5	Herbal	2.0	30.0	right	P
ycheor	f3r	2	1	Herbal	39.4	0.0	left	V
chor	f3r	2	2	Herbal	51.0	0.0	left	V
dam	f3r	2	3	Herbal	2.0	30.0	right	P
qotcham	f3r	2	4	Herbal	0.0	9.0	right	P
cham	f3r	2	5	Herbal	51.0	0.0	left	V
ochor	f3r	3	1	Herbal	0.0	5.0	right	P
qocheor	f3r	3	2	Herbal	9.4	0.0	left	V
chol	f3r	3	3	Herbal	51.0	0.0	left	V
daiin	f3r	3	4	Herbal	2.0	30.0	right	P
cthy	f3r	3	5	Herbal	51.0	3.0	left	V
schey	f3r	4	1	Herbal	9.4	0.0	left	V
chor	f3r	4	2	Herbal	51.0	0.0	left	V
chal	f3r	4	3	Herbal	51.0	0.0	left	V
cham	f3r	4	4	Herbal	51.0	0.0	left	V
cham	f3r	4	5	Herbal	51.0	0.0	left	V
cho	f3r	4	6	Herbal	51.0	0.0	left	V
qokol	f3r	5	1	Herbal	39.75	0.0	left	V
chololy	f3r	5	2	Herbal	51.0	0.0	left	V
s	f3r	5	3	Herbal	0.0	0.0	unknown	P
cham	f3r	5	4	Herbal	51.0	0.0	left	V
cthol	f3r	5	5	Herbal	51.0	3.0	left	V
ychtaiin	f3r	6	1	Herbal	30.0	0.0	left	V
chor	f3r	6	2	Herbal	51.0	0.0	left	V
cthom	f3r	6	3	Herbal	51.0	3.0	left	V
otal	f3r	6	4	Herbal	0.0	5.0	right	P
