section	tokens_total	a_count	e_count	a_per_1k	e_per_1k	ea_per_1k
Astronomical/Zodiac	3056	293	42	95.87696335078535	13.7434554973822	109.62041884816753
Biological	6915	145	12	20.968908170643527	1.7353579175704987	22.704266088214027
Cosmological	1818	162	3	89.10891089108911	1.6501650165016502	90.75907590759076
Herbal	11445	372	49	32.50327653997378	4.281345565749236	36.784622105723024
Pharmaceutical	3784	125	25	33.0338266384778	6.606765327695561	39.64059196617336
Recipes	10681	860	20	80.51680554255219	1.8724838498267953	82.389289392379
Unknown	187	8	0	42.780748663101605	0.0	42.780748663101605
