suffix	unique_stems	token_count	type_token_ratio	avg_tokens_per_stem
am	190	559	0.33989266547406083	2.942105263157895
NULL	1872	7916	0.23648307225871654	4.228632478632479
ody	193	845	0.22840236686390533	4.3782383419689115
or	252	1297	0.19429452582883577	5.146825396825397
al	265	1482	0.1788124156545209	5.592452830188679
y	2011	11524	0.17450538007636238	5.730482347091
ain	183	1241	0.14746172441579372	6.781420765027322
ol	302	2349	0.12856534695615154	7.7781456953642385
aiin	316	2534	0.12470402525651145	8.018987341772151
