idx	token	length	freq	H1_local_bits	n_rules	rule_ids	family_signature	best_pmi_partner
5412	y	1	113	8.037413	0			
5413	tedy	4	37	9.648139	0			
5414	m	1	9	11.687667	0			
5415	dain	4	151	7.619188	0			
5416	tolkain	7	2	13.857592	0			
5417	otam	4	41	9.500040	0			
5418	shedy	5	371	6.322317	0			
5419	otedy	5	137	7.759560	0			
5420	fcheodal	8	1	14.857592	0			
5421	cphheg	6	1	14.857592	0			
5422	otoly	5	10	11.535664	0			
5423	chey	4	246	6.915078	1	chargram:che:left	chargram:che:left	
5424	kaly	4	2	13.857592	0			
5425	tokar	5	1	14.857592	0			
5426	otam	4	41	9.500040	0			
5427	otchdy	6	26	10.157153	0			
5428	otoldy	6	8	11.857592	0			
5429	ytam	4	11	11.398161	0			
5430	otedy	5	137	7.759560	0			
5431	ytchedal	8	1	14.857592	0			
5432	cthey	5	32	9.857592	0			
5433	okar	4	96	8.272630	1	chargram:ok:left	chargram:ok:left	
5434	ar	2	297	6.643273	0			
5435	ary	3	22	10.398161	0			
5436	poshol	6	1	14.857592	0			
5437	dy	2	196	7.242882	0			
5438	shor	4	66	8.813198	0			
5439	shol	4	135	7.780777	0			
5440	shtchy	6	2	13.857592	0			
5441	shorpchor	9	1	14.857592	0			
5442	opchor	6	6	12.272630	0			
5443	shorkchy	8	1	14.857592	0			
5444	qotor	5	22	10.398161	0			
5445	sho	3	84	8.465275	0			
5446	chotchy	7	11	11.398161	0			
5447	choshy	6	3	13.272630	0			
5448	qopchor	7	2	13.857592	0			
5449	qo	2	23	10.334030	0			
5450	dor	3	49	9.242882	0			
5451	daiin	5	621	5.579143	0			
5452	ksho	4	6	12.272630	0			
5453	qodain	6	7	12.050237	0			
5454	chotshy	7	1	14.857592	0			
5455	dodar	5	2	13.857592	0			
5456	chor	4	140	7.728309	0			
5457	sheor	5	44	9.398161	0			
5458	chey	4	246	6.915078	1	chargram:che:left	chargram:che:left	
5459	teey	4	16	10.857592	0			
5460	qotan	5	2	13.857592	0			
5461	olor	4	20	10.535664	0			
5462	shshes	6	1	14.857592	0			
5463	sheoty	6	1	14.857592	0			
5464	chol	4	263	6.818673	0			
5465	daiin	5	621	5.579143	0			
5466	qokeor	6	17	10.770129	1	chargram:qok:left	chargram:qok:left	
5467	cheey	5	134	7.791503	1	chargram:che:left	chargram:che:left	
5468	qokchy	6	49	9.242882	1	chargram:qok:left	chargram:qok:left	
5469	qotody	6	9	11.687667	0			
5470	chot	4	4	12.857592	0			
5471	chor	4	140	7.728309	0			
5472	chy	3	98	8.242882	0			
5473	cheet	5	1	14.857592	1	chargram:che:left	chargram:che:left	
5474	qolsor	6	1	14.857592	0			
5475	o	1	60	8.950702	0			
5476	y	1	113	8.037413	0			
5477	keeey	5	7	12.050237	1	chargram:ke:left	chargram:ke:left	
5478	chey	4	246	6.915078	1	chargram:che:left	chargram:che:left	
5479	kshey	5	4	12.857592	0			
5480	choroiin	8	1	14.857592	0			
5481	sho	3	84	8.465275	0			
5482	r	1	67	8.791503	0			
5483	choiin	6	10	11.535664	0			
5484	shor	4	66	8.813198	0			
5485	shor	4	66	8.813198	0			
5486	shy	3	72	8.687667	0			
5487	podaiin	7	4	12.857592	0			
5488	cheo	4	45	9.365739	1	chargram:che:left	chargram:che:left	
5489	kcho	4	4	12.857592	0			
5490	daiin	5	621	5.579143	0			
5491	chcthy	6	66	8.813198	0			
5492	sod	3	1	14.857592	0			
5493	chol	4	263	6.818673	0			
5494	y	1	113	8.037413	0			
5495	tcheol	6	4	12.857592	0			
5496	daiin	5	621	5.579143	0			
5497	cthodd	6	1	14.857592	0			
5498	qo	2	23	10.334030	0			
5499	shoqoky	7	1	14.857592	0			
5500	shor	4	66	8.813198	0			
5501	sheor	5	44	9.398161	0			
5502	otol	4	64	8.857592	0			
5503	daiin	5	621	5.579143	0			
5504	ochol	5	3	13.272630	0			
5505	chol	4	263	6.818673	0			
5506	chody	5	63	8.880312	0			
5507	dchodaiin	9	1	14.857592	2	chargram:dc:left,chargram:dch:left	chargram:dc:left-chargram:dch:left	
5508	daiin	5	621	5.579143	0			
5509	qocho	5	1	14.857592	0			
5510	cheey	5	134	7.791503	1	chargram:che:left	chargram:che:left	
5511	dchey	5	14	11.050237	2	chargram:dc:left,chargram:dch:left	chargram:dc:left-chargram:dch:left	
5512	qotchody	8	3	13.272630	0			
5513	olol	4	14	11.050237	0			
5514	olchey	6	21	10.465275	0			
5515	chey	4	246	6.915078	1	chargram:che:left	chargram:che:left	
5516	kchy	4	17	10.770129	0			
5517	qotchol	7	8	11.857592	0			
5518	chosory	7	1	14.857592	0			
5519	sheor	5	44	9.398161	0			
5520	cheol	5	131	7.824169	1	chargram:che:left	chargram:che:left	
5521	od	2	4	12.857592	0			
5522	cho	3	48	9.272630	0			
5523	dcheeey	7	1	14.857592	2	chargram:dc:left,chargram:dch:left	chargram:dc:left-chargram:dch:left	
5524	qotchotchy	10	1	14.857592	0			
5525	dcheo	5	5	12.535664	2	chargram:dc:left,chargram:dch:left	chargram:dc:left-chargram:dch:left	
5526	r	1	67	8.791503	0			
5527	cheey	5	134	7.791503	1	chargram:che:left	chargram:che:left	
