suffix	count
a	11595
e	10903
o	7922
um	6960
i	6373
is	6323
us	4240
em	3838
ur	3571
it	2647
am	2563
ae	1938
ibus	1695
as	1620
et	1397
at	1219
os	1081
orum	704
or	507
ere	487
arum	287
im	247
are	161
ei	107
ire	18
