suffix	count
i	4365
o	2603
e	1526
or	1169
at	1048
is	747
as	623
it	567
os	443
im	333
ur	264
a	251
us	221
et	220
um	188
am	107
em	77
ae	59
are	40
ere	34
ei	15
arum	3
