suffix	count
e	1351
er	715
a	669
ar	630
ir	314
on	227
i	198
ment	134
at	112
an	101
it	97
o	71
or	58
en	51
et	48
ador	36
atge	32
ada	23
etz	13
atz	12
ida	10
edor	10
idor	9
itz	8
eda	1
