tok_id	token	prefix	stem	suffix
18643	qokeody		qokeody	
18644	daldaiin		daldaiin	
18645	chodaiin		chodaiin	
18646	dal		dal	
18647	qokeol		qokeol	
18648	chol		chol	
18649	qodaiin		qodaiin	
18650	chol		chol	
18651	cheody		cheody	
18652	qokechy		qokechy	
18653	daiin		daiin	
18654	ctheody		ctheody	
18655	dam		dam	
18656	oiiin		oiiin	
18657	daiin		daiin	
18658	qokeey		qokeey	
18659	daiin		daiin	
18660	ckhol		ckhol	
18661	qokain		qokain	
18662	cheamy		cheamy	
18663	ykyd		ykyd	
18664	chol		chol	
18665	ches		ches	
18666	otorain		otorain	
18667	okaiin		okaiin	
18668	dan		dan	
18669	tcheol		tcheol	
18670	qoeair		qoeair	
18671	sheol		sheol	
18672	qocphey		qocphey	
18673	saiin		saiin	
18674	cheocphey		cheocphey	
18675	dal		dal	
18676	darolm		darolm	
18677	om		om	
18678	sheey		sheey	
18679	qokey		qokey	
18680	l		l	
18681	daiin		daiin	
18682	dal		dal	
18683	chom		chom	
18684	chekechy		chekechy	
18685	chol		chol	
18686	cheos		cheos	
18687	aiin		aiin	
18688	dy		dy	
18689	qeaiin		qeaiin	
18690	cheol		cheol	
18691	seey		seey	
18692	qotey		qotey	
18693	qokeeol		qokeeol	
18694	daiin		daiin	
18695	ykeedy		ykeedy	
18696	daiin		daiin	
18697	dam		dam	
18698	pshol		pshol	
18699	sheo		sheo	
18700	oaithy		oaithy	
18701	cheoepey		cheoepey	
18702	s		s	
18703	sheor		sheor	
18704	qokair		qokair	
18705	y		y	
18706	dam		dam	
18707	daly		daly	
18708	daim		daim	
18709	cheom		cheom	
18710	qoaikhy		qoaikhy	
18711	air		air	
18712	cheody		cheody	
18713	ldain		ldain	
18714	dal		dal	
18715	chom		chom	
18716	chtaem		chtaem	
18717	taiin		taiin	
18718	dam		dam	
18719	shoety		shoety	
18720	dal		dal	
18721	qokchy		qokchy	
18722	ykchdy		ykchdy	
18723	otcham		otcham	
18724	ol		ol	
18725	rchs		rchs	
18726	aiin		aiin	
18727	ysheeo		ysheeo	
18728	r		r	
18729	sheol		sheol	
18730	qockhedy		qockhedy	
