position	mean_H	sd_H
yke	Herbal	-0.612194
yke	Pharmaceutical	-0.156233
yke	Recipes	-0.612194
yke	Astronomical	-0.156233
yke	Biological	-0.612194
yke	Unassigned	0.092659
olche	Herbal	0.092659
olche	Pharmaceutical	0.092659
olche	Recipes	0.092659
olche	Astronomical	0.092659
olche	Biological	0.092659
olche	Unassigned	0.092659
qotee	Herbal	-0.313685
qotee	Pharmaceutical	0.299244
qotee	Recipes	-0.313685
qotee	Astronomical	-0.313685
qotee	Biological	-0.313685
qotee	Unassigned	0.092659
yshe	Herbal	-0.702955
yshe	Pharmaceutical	0.196447
yshe	Recipes	-0.702955
yshe	Astronomical	0.092659
yshe	Biological	-0.702955
yshe	Unassigned	0.092659
ykee	Herbal	-0.612194
ykee	Pharmaceutical	-0.612194
ykee	Recipes	-0.612194
ykee	Astronomical	-0.612194
ykee	Biological	-0.612194
ykee	Unassigned	-0.075136
ra	Herbal	0.092659
ra	Pharmaceutical	0.092659
ra	Recipes	0.092659
ra	Astronomical	0.092659
ra	Biological	0.092659
ra	Unassigned	0.092659
fche	Herbal	-0.710802
fche	Pharmaceutical	-0.850511
fche	Recipes	-0.710802
fche	Astronomical	0.092659
fche	Biological	-0.710802
fche	Unassigned	0.092659
qokee	Herbal	-0.238630
qokee	Pharmaceutical	-0.489835
qokee	Recipes	-0.837747
qokee	Astronomical	-0.489835
qokee	Biological	-0.837747
qokee	Unassigned	0.092659
t	Herbal	0.092659
t	Pharmaceutical	0.092659
t	Recipes	0.092659
t	Astronomical	0.092659
t	Biological	0.092659
t	Unassigned	0.092659
ee	Herbal	0.092659
ee	Pharmaceutical	0.092659
ee	Recipes	0.092659
ee	Astronomical	0.092659
ee	Biological	0.092659
ee	Unassigned	0.092659
qoee	Herbal	-0.876232
qoee	Pharmaceutical	-0.876232
qoee	Recipes	-0.736524
qoee	Astronomical	0.092659
qoee	Biological	-0.736524
qoee	Unassigned	0.092659
to	Herbal	0.092659
to	Pharmaceutical	0.092659
to	Recipes	0.092659
to	Astronomical	0.092659
to	Biological	0.092659
to	Unassigned	0.092659
lka	Herbal	0.092659
lka	Pharmaceutical	0.097103
lka	Recipes	0.177033
lka	Astronomical	0.092659
lka	Biological	0.092659
lka	Unassigned	0.092659
okee	Herbal	-0.732010
okee	Pharmaceutical	-0.871719
okee	Recipes	-0.732010
okee	Astronomical	-0.871719
okee	Biological	-0.732010
okee	Unassigned	0.092659
chee	Herbal	-0.701321
chee	Pharmaceutical	-0.353409
chee	Recipes	-0.701321
chee	Astronomical	-0.701321
chee	Biological	-0.353409
chee	Unassigned	-0.353409
qock	Herbal	0.378179
qock	Pharmaceutical	0.378179
qock	Recipes	0.378179
qock	Astronomical	0.092659
qock	Biological	0.378179
qock	Unassigned	0.333367
cth	Herbal	-0.881176
cth	Pharmaceutical	-0.881176
cth	Recipes	-0.741467
cth	Astronomical	-0.881176
cth	Biological	-0.741467
cth	Unassigned	-0.881176
ytc	Herbal	0.781840
ytc	Pharmaceutical	0.781840
ytc	Recipes	0.781840
ytc	Astronomical	0.683845
ytc	Biological	0.781840
ytc	Unassigned	0.092659
qok	Herbal	-0.355649
qok	Pharmaceutical	-0.489835
qok	Recipes	-0.837747
qok	Astronomical	-0.977455
qok	Biological	-0.837747
qok	Unassigned	-0.286207
pche	Herbal	-0.976624
pche	Pharmaceutical	-0.299858
pche	Recipes	-0.337312
pche	Astronomical	0.092659
pche	Biological	-0.836915
pche	Unassigned	-0.976624
chod	Herbal	-0.333338
chod	Pharmaceutical	-0.333338
chod	Recipes	-0.333338
chod	Astronomical	0.092659
chod	Biological	0.092659
chod	Unassigned	0.092659
lche	Herbal	-0.477665
lche	Pharmaceutical	-0.477665
lche	Recipes	-0.477665
lche	Astronomical	0.092659
lche	Biological	-0.477665
lche	Unassigned	0.092659
otol	Herbal	0.209472
otol	Pharmaceutical	0.209472
otol	Recipes	0.092659
otol	Astronomical	0.092659
otol	Biological	0.209472
otol	Unassigned	0.092659
y	Herbal	0.092659
y	Pharmaceutical	0.092659
y	Recipes	0.092659
y	Astronomical	0.092659
y	Biological	0.092659
y	Unassigned	0.092659
che	Herbal	-0.188261
che	Pharmaceutical	0.092659
che	Recipes	0.092659
che	Astronomical	0.092659
che	Biological	0.092659
che	Unassigned	-0.353409
otee	Herbal	-0.810321
otee	Pharmaceutical	-0.810321
otee	Recipes	-0.950028
otee	Astronomical	-0.810321
otee	Biological	-0.810321
otee	Unassigned	-0.810321
k	Herbal	0.092659
k	Pharmaceutical	0.092659
k	Recipes	0.092659
k	Astronomical	0.092659
k	Biological	0.092659
k	Unassigned	0.092659
yte	Herbal	-0.558170
yte	Pharmaceutical	-0.102208
yte	Recipes	-0.558170
yte	Astronomical	-0.558170
yte	Biological	-0.558170
yte	Unassigned	0.092659
lc	Herbal	0.313264
lc	Pharmaceutical	0.282029
lc	Recipes	0.142902
lc	Astronomical	0.092659
lc	Biological	0.142902
lc	Unassigned	0.092659
q	Herbal	0.092659
q	Pharmaceutical	0.092659
q	Recipes	0.092659
q	Astronomical	0.092659
q	Biological	0.092659
q	Unassigned	0.092659
chockh	Herbal	0.092659
chockh	Pharmaceutical	0.092659
chockh	Recipes	0.092659
chockh	Astronomical	0.092659
chockh	Biological	0.092659
chockh	Unassigned	0.092659
chock	Herbal	-0.088571
chock	Pharmaceutical	-0.088571
chock	Recipes	-0.088571
chock	Astronomical	-0.088571
chock	Biological	0.092659
chock	Unassigned	0.092659
shcth	Herbal	1.049208
shcth	Pharmaceutical	0.760430
shcth	Recipes	1.049208
shcth	Astronomical	0.092659
shcth	Biological	1.147204
shcth	Unassigned	0.092659
shct	Herbal	0.809925
shct	Pharmaceutical	0.809925
shct	Recipes	0.809925
shct	Astronomical	0.092659
shct	Biological	0.809925
shct	Unassigned	0.092659
te	Herbal	0.092659
te	Pharmaceutical	0.092659
te	Recipes	0.092659
te	Astronomical	0.092659
te	Biological	0.092659
te	Unassigned	0.092659
ai	Herbal	0.092659
ai	Pharmaceutical	0.092659
ai	Recipes	0.092659
ai	Astronomical	0.092659
ai	Biological	0.092659
ai	Unassigned	0.092659
tsh	Herbal	0.427630
tsh	Pharmaceutical	0.188242
tsh	Recipes	0.188242
tsh	Astronomical	0.092659
tsh	Biological	0.333991
tsh	Unassigned	0.092659
ts	Herbal	0.092659
ts	Pharmaceutical	0.188242
ts	Recipes	0.188242
ts	Astronomical	0.092659
ts	Biological	0.092659
ts	Unassigned	0.092659
opa	Herbal	0.092659
opa	Pharmaceutical	0.092659
opa	Recipes	0.092659
opa	Astronomical	0.092659
opa	Biological	0.092659
opa	Unassigned	0.092659
sa	Herbal	0.092659
sa	Pharmaceutical	0.092659
sa	Recipes	0.092659
sa	Astronomical	0.092659
sa	Biological	0.092659
sa	Unassigned	0.092659
qoke	Herbal	-0.837747
qoke	Pharmaceutical	-0.489835
qoke	Recipes	-0.837747
qoke	Astronomical	-0.977455
qoke	Biological	-0.837747
qoke	Unassigned	-0.286207
qopc	Herbal	1.053143
qopc	Pharmaceutical	1.053143
qopc	Recipes	1.053143
qopc	Astronomical	0.955147
qopc	Biological	1.053143
qopc	Unassigned	0.092659
oi	Herbal	0.260965
oi	Pharmaceutical	0.345340
oi	Recipes	0.523590
oi	Astronomical	0.263535
oi	Biological	0.523590
oi	Unassigned	0.092659
okol	Herbal	0.255282
okol	Pharmaceutical	0.255282
okol	Recipes	0.255282
okol	Astronomical	0.092659
okol	Biological	0.255282
okol	Unassigned	0.092659
olke	Herbal	-0.734493
olke	Pharmaceutical	-0.874201
olke	Recipes	-0.734493
olke	Astronomical	0.092659
olke	Biological	-0.734493
olke	Unassigned	0.092659
okch	Herbal	0.669593
okch	Pharmaceutical	0.979688
okch	Recipes	0.669593
okch	Astronomical	0.669593
okch	Biological	1.077684
okch	Unassigned	0.092659
choke	Herbal	-0.855709
choke	Pharmaceutical	-0.855709
choke	Recipes	-0.855709
choke	Astronomical	-0.116884
choke	Biological	0.092659
choke	Unassigned	0.092659
cthe	Herbal	-0.741467
cthe	Pharmaceutical	-0.881176
cthe	Recipes	-0.741467
cthe	Astronomical	-0.881176
cthe	Biological	-0.741467
cthe	Unassigned	-0.881176
yt	Herbal	0.092659
yt	Pharmaceutical	0.092659
yt	Recipes	0.092659
yt	Astronomical	0.201524
yt	Biological	0.092659
yt	Unassigned	0.092659
qod	Herbal	-0.014203
qod	Pharmaceutical	-0.011576
qod	Recipes	0.076161
qod	Astronomical	0.092659
qod	Biological	-0.011576
qod	Unassigned	0.092659
tee	Herbal	0.076161
tee	Pharmaceutical	0.076161
tee	Recipes	0.092659
tee	Astronomical	0.092659
tee	Biological	0.076161
tee	Unassigned	0.092659
ckhe	Herbal	-0.909268
ckhe	Pharmaceutical	-0.421648
ckhe	Recipes	-0.421648
ckhe	Astronomical	0.092659
ckhe	Biological	-0.769560
ckhe	Unassigned	-0.909268
oc	Herbal	0.092659
oc	Pharmaceutical	0.092659
oc	Recipes	0.092659
oc	Astronomical	0.092659
oc	Biological	0.092659
oc	Unassigned	0.092659
qoteo	Herbal	0.411392
qoteo	Pharmaceutical	0.142278
qoteo	Recipes	0.142278
qoteo	Astronomical	0.092659
qoteo	Biological	0.142278
qoteo	Unassigned	0.092659
olshe	Herbal	-0.746921
olshe	Pharmaceutical	-0.055673
olshe	Recipes	-0.746921
olshe	Astronomical	0.092659
olshe	Biological	-0.746921
olshe	Unassigned	0.092659
olsh	Herbal	-0.746921
olsh	Pharmaceutical	-0.055673
olsh	Recipes	-0.746921
olsh	Astronomical	0.092659
olsh	Biological	-0.746921
olsh	Unassigned	0.092659
ot	Herbal	0.092659
ot	Pharmaceutical	0.092659
ot	Recipes	0.092659
ot	Astronomical	-0.227702
ot	Biological	0.092659
ot	Unassigned	-0.227702
cp	Herbal	0.092659
cp	Pharmaceutical	0.092659
cp	Recipes	0.092659
cp	Astronomical	0.092659
cp	Biological	-0.024360
cp	Unassigned	0.092659
cha	Herbal	0.092659
cha	Pharmaceutical	0.092659
cha	Recipes	0.092659
cha	Astronomical	0.092659
cha	Biological	0.092659
cha	Unassigned	0.092659
ych	Herbal	-0.877134
ych	Pharmaceutical	-0.877134
ych	Recipes	-0.877134
ych	Astronomical	0.092659
ych	Biological	-0.737426
ych	Unassigned	-0.877134
qotch	Herbal	0.477244
qotch	Pharmaceutical	0.477244
qotch	Recipes	0.383604
qotch	Astronomical	0.092659
qotch	Biological	0.885335
qotch	Unassigned	0.092659
yk	Herbal	0.092659
yk	Pharmaceutical	0.092659
yk	Recipes	0.092659
yk	Astronomical	0.092659
yk	Biological	0.092659
yk	Unassigned	0.092659
