suffix	initial_count	medial_count	final_count	only_count	total	initial_pct	medial_pct	final_pct	only_pct
NULL	66	7785	65	0	7916	0.833754421424962	98.34512379989894	0.8211217786760991	0.0
aiin	7	2505	22	0	2534	0.2762430939226519	98.85556432517758	0.8681925808997633	0.0
ain	4	1231	6	0	1241	0.32232070910556004	99.1941982272361	0.4834810636583401	0.0
al	9	1465	8	0	1482	0.6072874493927125	98.85290148448043	0.5398110661268556	0.0
am	3	550	6	0	559	0.5366726296958855	98.38998211091234	1.073345259391771	0.0
ody	6	834	5	0	845	0.7100591715976331	98.69822485207101	0.591715976331361	0.0
ol	22	2304	23	0	2349	0.9365687526607066	98.08429118773945	0.9791400595998296	0.0
or	18	1265	14	0	1297	1.3878180416345411	97.53276792598304	1.0794140323824208	0.0
y	90	11358	76	0	11524	0.7809788267962513	98.55952794168692	0.6594932315168344	0.0
