kind	pattern	pred_side	base_weight	allow_sections	deny_sections	w_Herbal	w_Pharm	w_Recipes	w_Astron	w_Biolog	w_Unasg	meta	examples
prefix	qoe	left	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.444916, ""stdev_axis1"": 0.423314, ""support"": 12}"	qoe,qoee
prefix	qop	right	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.87673, ""stdev_axis1"": 0.352468, ""support"": 12}"	qopch,qopc
prefix	shc	right	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.634699, ""stdev_axis1"": 0.400016, ""support"": 12}"	shcth,shct
prefix	ych	left	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.692217, ""stdev_axis1"": 0.354695, ""support"": 12}"	yche,ych
prefix	ykc	right	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.674758, ""stdev_axis1"": 0.338973, ""support"": 12}"	ykch,ykc
prefix	ytc	right	18.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.41412, ""stdev_axis1"": 0.433524, ""support"": 18}"	ytch,ytche,ytc
suffix	hct	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	chct,shct
suffix	lsh	left	12.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.28831, ""stdev_axis1"": 0.397926, ""support"": 12}"	lsh,olsh
suffix	oke	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	qoke,choke
suffix	pch	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	opch,qopch,pch
chargram	chc	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	chcth,chct
chargram	dch	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	dche,dch
chargram	lsh	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	lsh,olshe,olsh
chargram	olc	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	olc,olch,olche
chargram	otc	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	otch,otche,qotch
chargram	qoe	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	qoe,qoee
chargram	qop	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	qopch,qopc
chargram	shc	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	shcth,shct
chargram	ych	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	yche,ych
chargram	ykc	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	ykch,ykc
